iter	Passed	Remaining
627	4098	2427
628	4106	2421
629	4112	2415
630	4119	2408
631	4125	2401
632	4130	2395
633	4139	2389
634	4145	2382
635	4152	2376
636	4159	2370
637	4165	2363
638	4172	2357
639	4179	2351
640	4186	2344
641	4192	2338
642	4200	2331
643	4206	2325
644	4211	2318
645	4218	2311
646	4224	2304
647	4231	2298
648	4237	2291
649	4243	2285
650	4251	2279
651	4257	2272
652	4264	2266
653	4271	2259
654	4277	2252
655	4283	2246
656	4290	2239
657	4296	2233
658	4303	2226
659	4309	2220
660	4316	2213
661	4322	2206
662	4328	2200
663	4334	2193
664	4340	2186
665	4347	2180
666	4354	2173
667	4361	2167
668	4367	2160
669	4373	2154
670	4380	2147
671	4387	2141
672	4393	2134
673	4400	2128
674	4406	2121
675	4412	2114
676	4418	2108
677	4424	2101
678	4430	2094
679	4436	2087
680	4442	2080
681	4448	2074
682	4453	2067
683	4459	2060
684	4465	2053
685	4471	2046
686	4477	2039
687	4483	2033
688	4488	2026
689	4494	2019
690	4500	2012
691	4506	2005
692	4511	1998
693	4517	1991
694	4523	1985
695	4529	1978
696	4534	1971
697	4540	1964
698	4546	1957
699	4552	1950
700	4558	1944
701	4563	1937
702	4570	1930
703	4576	1924
704	4583	1917
705	4589	1911
706	4595	1904
707	4602	1898
708	4608	1891
709	4615	1885
710	4621	1878
711	4627	1871
712	4633	1864
713	4639	1858
714	4645	1851
715	4651	1845
716	4657	1838
717	4663	1831
718	4669	1825
719	4675	1818
720	4681	1811
721	4687	1804
722	4693	1798
723	4698	1791
724	4704	1784
725	4710	1777
726	4715	1770
727	4721	1764
728	4727	1757
729	4732	1750
730	4738	1743
731	4744	1737
732	4750	1730
733	4755	1723
734	4761	1716
735	4767	1709
736	4773	1703
737	4780	1697
738	4786	1690
739	4793	1684
740	4799	1677
741	4806	1671
742	4812	1664
743	4819	1658
744	4826	1652
745	4834	1645
746	4841	1639
747	4847	1633
748	4854	1626
749	4861	1620
750	4869	1614
751	4875	1607
752	4882	1601
753	4889	1595
754	4896	1588
755	4902	1582
756	4909	1576
757	4916	1569
758	4923	1563
759	4930	1556
760	4937	1550
761	4943	1544
762	4949	1537
763	4955	1530
764	4961	1524
765	4967	1517
766	4972	1510
767	4978	1504
768	4984	1497
769	4991	1491
770	4998	1484
771	5004	1478
772	5011	1471
773	5017	1465
774	5023	1458
775	5030	1452
776	5037	1445
777	5044	1439
778	5050	1432
779	5056	1426
780	5061	1419
781	5067	1412
782	5073	1406
783	5079	1399
784	5085	1392
785	5091	1386
786	5097	1379
787	5103	1372
788	5108	1366
789	5114	1359
790	5120	1352
791	5126	1346
792	5132	1339
793	5137	1332
794	5143	1326
795	5149	1319
796	5155	1313
797	5161	1306
798	5166	1299
799	5172	1293
800	5178	1286
801	5184	1279
802	5191	1273
803	5197	1267
804	5204	1260
805	5210	1254
806	5216	1247
807	5223	1241
808	5230	1234
809	5237	1228
810	5243	1222
811	5249	1215
812	5256	1208
813	5262	1202
814	5268	1195
815	5275	1189
816	5281	1182
817	5287	1176
818	5293	1169
819	5299	1163
820	5305	1156
821	5311	1150
822	5317	1143
823	5322	1136
824	5328	1130
825	5334	1123
826	5340	1117
827	5346	1110
